Disp,Address,City,Zip,County,Del. zone,License #,District #,District,Opened
Windy City - Carpentersville,125 S Western Ave,Carpentersville,60110,Kane,Zone 5.72,284000111,5,Chicago-Naperville-Elgin,3/24/2021
Windy City - Macomb,518 W Jackson St,Macomb,61455,McDonough,Zone 15.0,284000112,15,West Central Illinois Nonmetropolitan,3/29/2021
The Dispensary - East Dubuque,1709 Il Route 35 N,East Dubuque,61025,Jo Daviess,Zone 14.0,284000113,14,Northwest Illinois nonmetropolitan area,3/29/2021
NuEra - Champaign,102 E. Green St.,Champaign,61820,Champaign,Zone 4.0,284000115,4,Champaign-Urbana,3/30/2021
NuEra - Pekin,3249 Court St.,Pekin,61554,Tazewell,Zone 10.0,284000116,10,Peoria,3/30/2021
Curaleaf - Westmont,11 E. Ogden Ave.,Westmont,60559,DuPage,Zone 5.51,284000117,5,Chicago-Naperville-Elgin,3/30/2021
Maribis - Westchester,1137 South Mannheim Road,Westchester,60154,Cook,Zone 5.51,284000118,5,Chicago-Naperville-Elgin,3/30/2021
Maribis - Springfield West,3025 Lindbergh Blvd,Springfield,62704,Sangamon,Zone 13.0,284000119,13,Springfield,3/30/2021
Thrive - Metropolis,1551 E. 5th St.,Metropolis,62960,Massac,Zone 17.1,284000122,17,South Illinois Nonmetropolitan,4/2/2021
Revolution - Schaumburg,820 E. Golf Rd.,Schaumburg,60173,Cook,Zone 5.91,284000123,5,Chicago-Naperville-Elgin,4/2/2021
Ascend - Chicago Ridge,9820 Ridgeland Ave,Chicago Ridge,60415,Cook,Zone 5.71,284000125,5,Chicago-Naperville-Elgin,3/29/2021
Rise - Charleston,909 Lincoln Ave.,Charleston,61920,Coles,Zone 16.0,284000130,16,East Central IL Nonmetropolitan,12/3/2020
Bloom Wellness - Quincy (1837),1837 Broadway St,Quincy,62301,Adams,Zone 15.0,284000138,15,West Central Illinois Nonmetropolitan,8/4/2020
Ivy Hall - Streamwood,630 S Sutton Rd,Streamwood,60107,Cook,Zone 5.91,284000141,5,Chicago-Naperville-Elgin,3/12/2024
OKAY Cannabis - Wheeling,781 N Milwaukee Ave,Wheeling,60090,Cook,Zone 5.3,284000142,5,Chicago-Naperville-Elgin,1/26/2023
OKAY Cannabis - Evanston,100 Chicago Ave,Evanston,60202,Cook,Zone 5.2,284000143,5,Chicago-Naperville-Elgin,2/2/2024
Earthmed - McHenry,1711 N Richmond Rd.,McHenry,60051,McHenry,Zone 5.72,284000144,5,Chicago-Naperville-Elgin,12/7/2023
Mission - Norridge,4113 N Harlem Ave,Norridge,60706,Cook,Zone 5.21,284000147,5,Chicago-Naperville-Elgin,5/20/2024
Green Releaf - Villa Park,305 W North Ave,Villa Park,60181,DuPage,Zone 5.52,284000148,5,Chicago-Naperville-Elgin,5/6/2024
Spark'd - Crystal Lake,330 State Route 31,Crystal Lake,60012,McHenry,Zone 5.72,284000149,5,Chicago-Naperville-Elgin,11/21/2023
Glenwood Dispensary - Glenwood,18425 S Halsted St,Glenwood,60425,Cook,Zone 5.81,284000149,5,Chicago-Naperville-Elgin,11/21/2023
Parkway - Forest Park,7432 Madison St.,Forest Park,60130,Cook,Zone 5.51,284000150,5,Chicago-Naperville-Elgin,9/3/2024
Terrabis - Mundelein,3210 W II Route 60,Mundelein,60060,Lake,Zone 5.71,284000153,5,Chicago-Naperville-Elgin,2/5/2026
Aroma Hill - Fox Lake,1298 US Highway 12,Fox Lake,60020,Lake,Zone 5.73,284000154,5,Chicago-Naperville-Elgin,3/22/2024
UMI - Chicago,2575 N Lincoln Ave.,Chicago,60614,Cook,Zone 5.1,284000155,5,Chicago-Naperville-Elgin,5/28/2025
Mint - Willowbrook,900 75th St,Willowbrook,60527,Cook,Zone 5.72,284000156,5,Chicago-Naperville-Elgin,9/11/2024
Cookies - Chicago,215 N Clinton St,Chicago,60661,Cook,Zone 5.11,284000157,5,Chicago-Naperville-Elgin,11/19/2023
Dutchess - Lynwood,20513 Torrence Ave,Lynwood,60411,Will,Zone 5.81,284000158,5,Chicago-Naperville-Elgin,3/21/2025
Dutchess - Markham,3063 W 159th St.,Markham,60428,Cook,Zone 5.8,284000159,5,Chicago-Naperville-Elgin,4/20/2023
Tree Haus - Morris,50 Gore Rd,Morris,60450,Grundy,Zone 14.1,284000160,5,Chicago-Naperville-Elgin,5/23/2025
Tree Haus - Diamond,2910 E. Division St,Diamond,60416,Will,Zone 14.1,284000161,5,Chicago-Naperville-Elgin,1/5/2026
Planet 13 - Waukegan,4000 Northpoint Blvd,Waukegan,60085,Lake,Zone 5.71,284000162,5,Chicago-Naperville-Elgin,11/22/2023
Altius - Round Lake Beach,993 E Rollins Rd,Round Lake Beach,60073,Lake,Zone 5.73,284000163,5,Chicago-Naperville-Elgin,11/17/2022
Starbuds - Westmont,101 W Ogden Ave,Westmont,60559,DuPage,Zone 5.51,284000164,5,Chicago-Naperville-Elgin,2/21/2025
Aroma Hill - Belvidere,1874 Crystal Parkway,Belvidere,61008,Boone,Zone 11.0,284000165,11,Rockford,10/11/2023
Cloudhaven - South Beloit,1322 Gardner St.,South Beloit,61080,Winnebago,Zone 11.0,284000166,11,Rockford,1/3/2025
Revolution - Maryville,2533 Vandalia St,Collinsville,62234,Madison,Zone 12.0,284000167,12,St. Louis,2/1/2024
Green Temple - Troy,904 Edwardsville Rd.,Troy,62294,Madison,Zone 12.0,284000168,12,St. Louis,6/5/2023
Alton Dispensary,1400 E Broadway,Alton,62002,Madison,Zone 12.0,284000169,12,St. Louis,5/9/2023
Stash - Peru,1320 38th St,Peru,61354,LaSalle,Zone 14.1,284000170,14,Northwest Illinois nonmetropolitan area,7/12/2023
Thrive - Casey,912 N Route 49,Casey,62420,Clark,Zone 16.0,284000171,16,East Central IL Nonmetropolitan,9/28/2023
Herb Social - Lawrenceville,616 12th St.,Lawrenceville,62439,Lawrence,Zone 16.0,284000172,16,East Central IL Nonmetropolitan,5/15/2024
Parkway - Tilton,2 Donna Dr.,Tilton,61833,Vermilion,Zone 4.0,284000173,6,Danville,9/11/2023
Revolution - Moline,4301 44th Ave,Moline,61265,Rock Island,Zone 7.0,284000174,7,Davenport-Moline-Rock Island,11/22/2023
Terrace - Moline,2727 Avenue of the Cities,Moline,61265,Rock Island,Zone 7.0,284000175,7,Davenport-Moline-Rock Island,7/17/2023
Terrace - Milan,800 Tech Dr,Milan,61264,Rock Island,Zone 7.0,284000176,7,Davenport-Moline-Rock Island,7/26/2024
High Profile - Springfield,4211 Conestoga Dr,Springfield,62711,Sangamon,Zone 13.0,284000178,13,Springfield,1/16/2024
SHARE - Springfield,3600 S 6th Street Rd,Springfield,62703,Sangamon,Zone 13.0,284000179,13,Springfield,9/5/2023
Ivy Hall - Waukegan,996 S Waukegan Rd.,Waukegan,60085,Lake,Zone 5.71,284000180,5,Chicago-Naperville-Elgin,3/22/2023
Ivy Hall - Montgomery,1970 Caterpillar Dr,Montgomery,60538,Kane,Zone 5.61,284000181,5,Chicago-Naperville-Elgin,4/25/2023
Ivy Hall - Glendale Heights,2130 Bloomingdale Rd Unit B,Glendale Heights,60139,DuPage,Zone 5.52,284000182,5,Chicago-Naperville-Elgin,8/2/2023
Ivy Hall - Bolingbrook,361 S Bolingbrook Dr,Bolingbrook,60440,Will,Zone 5.72,284000183,5,Chicago-Naperville-Elgin,6/15/2023
Ivy Hall - Logan Square,3115 W Armitage Ave,Chicago,60647,Cook,Zone 5.1,284000184,5,Chicago-Naperville-Elgin,1/17/2024
Dr Greenthumbs - Chicago,2200 N Ashland Ave,Chicago,60614,Cook,Zone 5.1,284000186,5,Chicago-Naperville-Elgin,6/18/2025
Grasshopper Club - Logan Square,2551 N. Milwaukee Ave.,Chicago,60647,Cook,Zone 5.1,284000187,5,Chicago-Naperville-Elgin,2/1/2023
Grasshopper Club - South Loop,58 E Roosevelt Rd Fl 1,Chicago,60605,Cook,Zone 5.11,284000188,5,Chicago-Naperville-Elgin,7/6/2023
AuraLight - Aurora,1350 N Orchard Rd,Aurora,60506,Kane,Zone 5.61,284000190,5,Chicago-Naperville-Elgin,2/6/2024
Guaranteed - Chicago,620 N Fairbanks Ct,Chicago,60611,Cook,Zone 5.11,284000191,5,Chicago-Naperville-Elgin,11/1/2025
Spark'd - South Loop,2114 S Wabash Ave,Chicago,60616,Cook,Zone 5.11,284000192,5,Chicago-Naperville-Elgin,1/23/2024
Spark'd - Wicker Park,1212 N Ashland Ave,Chicago,60622,Cook,Zone 5.1,284000193,5,Chicago-Naperville-Elgin,5/22/2023
Supergood Store - Des Plaines,660 N. Wolf Rd.,Des Plaines,60016,Cook,Zone 5.92,284000196,5,Chicago-Naperville-Elgin,12/26/2025
Ascend Cannabis Outlet by InLabs - Northlake,39 W North Ave.,Northlake,60164,Cook,Zone 5.52,284000197,5,Chicago-Naperville-Elgin,11/17/2023
Aces Dispensary - Plainfield,12627 S Route 59,Plainfield,60585,Will,Zone 5.72,284000198,5,Chicago-Naperville-Elgin,1/5/2026
Sway - Chicago,3340 N Halsted St.,Chicago,60657,Cook,Zone 5.1,284000200,5,Chicago-Naperville-Elgin,4/8/2024
NuEra - Dekalb,818 W Lincoln Hwy Ste 7,DeKalb,60115,DeKalb,Zone 5.61,284000201,5,Chicago-Naperville-Elgin,5/16/2024
NuEra - Harvey,16950 Halsted St.,Harvey,60426,Cook,Zone 5.81,284000202,5,Chicago-Naperville-Elgin,11/20/2025
Tru Essence - Arlington Heights,792 E Rand Rd.,Arlington Heights,60004,Cook,Zone 5.92,284000204,5,Chicago-Naperville-Elgin,6/5/2025
River Bluff - Roselle,1350 Lake St.,Roselle,60172,DuPage,Zone 5.52,284000205,5,Chicago-Naperville-Elgin,4/18/2023
Viola - Broadview,1516 W Roosevelt Rd.,Broadview,60155,Cook,Zone 5.51,284000207,5,Chicago-Naperville-Elgin,7/27/2023
Village - Bucktown,1850 W Webster Ave,Chicago,60614,Cook,Zone 5.1,284000208,5,Chicago-Naperville-Elgin,6/14/2024
Noxx - East Peoria,300 S Main St,East Peoria,61611,Tazewell,Zone 10.0,284000209,10,Peoria,1/9/2024
NuEra - East Dubuque,20170 US Highway 20 W,East Dubuque,61025,Jo Daviess,Zone 14.0,284000211,14,Northwest Illinois nonmetropolitan area,5/16/2024
Mystic Greenz - Lincoln,1120 Woodlawn Rd,Lincoln,62656,Logan,Zone 15.0,284000212,15,West Central Illinois Nonmetropolitan,11/20/2023
Kush21 - Jacksonville,1112 Veterans Dr,Jacksonville,62650,Morgan,Zone 15.0,284000213,15,West Central Illinois Nonmetropolitan,2/9/2023
Mystic Greenz - Olive Branch,26650 IL State Route 3,Olive Branch,62969,Alexander,Zone 2.0,284000214,2,Cape Girardeau,6/25/2024
Lova - Carbondale,1010 E Main St.,Carbondale,62901,Jackson,Zone 17.2,284000215,3,Carbondale-Marion,6/7/2023
Key Cannabis - Carbondale,1010 E Main St,Carbondale,62901,Jackson,Zone 3.0,284000215,3,Carbondale-Marion,6/7/2023
The Dispensary - Champaign,1826 Glenn Park Dr,Champaign,61821,Champaign,Zone 4.0,284000216,4,Champaign-Urbana,6/6/2024
Bud and Ritas - Forsyth,1401 Hickory Point Dr.,Macon,62535,Macon,Zone 8.0,284000218,8,Decatur,8/25/2025
Aroma Hill - Kankakee,2255 E Court St,Kankakee,60901,Kankakee,Zone 9.0,284000219,9,Kankakee,11/13/2023
Shangri La - Springfiled,3128 S Dirksen Pkwy,Springfield,62703,Sangamon,Zone 13.0,284000220,13,Springfield,4/29/2024
Revolution - Normal,1609 Northbrook Dr,Normal,61761,McLean,Zone 1.0,284000221,1,Bloomington,7/5/2024
