Disp,Address,City,Zip,County,Del. zone,License #,District #,District,Opened
KWB ONE- Lakemore,27500 IL 120,Lakemoor,60051,Lake,Zone 5.72,284000282,5,Chicago-Naperville-Elgin,11/22/2024
Cookies - Bolingbrook,190 S Weber Rd,Bolingbrook,60490,Will,Zone 5.72,284000284,5,Chicago-Naperville-Elgin,5/22/2025
Starbuds - Burbank,7844 S Cicero Ave,Burbank,60459,Cook,Zone 5.71,284000285,5,Chicago-Naperville-Elgin,1/3/2023
Terrabis - Plainfield,16020 S Route 59,Plainfield,60586,Will,Zone 5.72,284000286,5,Chicago-Naperville-Elgin,10/18/2024
Aroma Hill - Hoffman Estates,1237 North Barrington Road,Hoffman Estates,60169,Cook,Zone 5.91,284000287,5,Chicago-Naperville-Elgin,6/28/2023
Greenlight - Park City,3331 Belvidere Rd Suites B C,Park City,60085,Lake,Zone 5.71,284000288,5,Chicago-Naperville-Elgin,2/27/2023
Hi Five - Crestwood,13352 Cicero Ave,Crestwood,60418,Cook,Zone 5.8,284000290,5,Chicago-Naperville-Elgin,9/5/2024
Cloud9 - Oswego,2420 US Highway 30,Oswego,60543,Kendall,Zone 5.61,284000292,5,Chicago-Naperville-Elgin,7/2/2024
Prairie Cannabis - South Loop,622 W Roosevelt Rd,Chicago,60607,Cook,Zone 5.11,284000293,5,Chicago-Naperville-Elgin,4/4/2025
Consume - Antioch,471 Main St,Antioch,60002,Lake,Zone 5.73,284000294,5,Chicago-Naperville-Elgin,10/5/2023
Consume - St. Charles,584 S Randall Rd.,St Charles,60174,Kane,Zone 5.61,284000295,5,Chicago-Naperville-Elgin,4/17/2023
Lux Leaf - Matteson,5539 Miller Circle Dr,Matteson,60443,Cook,Zone 5.81,284000296,5,Chicago-Naperville-Elgin,3/14/2023
Perception - Chicago,7000 N Clark St,Chicago,60626,Cook,Zone 5.2,284000297,5,Chicago-Naperville-Elgin,5/30/2024
BLOC - Forest Park,7216 Circle Ave,Forest Park,60130,Cook,Zone 5.51,284000299,5,Chicago-Naperville-Elgin,5/28/2025
Vertical - Cary,20 Northwest Hwy,Cary,60013,McHenry,Zone 5.72,284000300,5,Chicago-Naperville-Elgin,7/25/2023
Ivy Hall - Edwardsville,6197 Old Alton Edwardsville Rd,Edwardsville,62025,Madison,Zone 12.0,284000302,12,St. Louis,3/19/2025
Cloud9 - East Peoria,406 W Camp St.,East Peoria,61611,Tazewell,Zone 10.0,284000303,10,Peoria,4/9/2024
Cloud9 - Edwardsville,2341 Plum St,Edwardsville,62025,Madison,Zone 12.0,284000304,12,St. Louis,4/24/2023
High Profile - Martinsville,3001 N York St.,Martinsville,62442,Clark,Zone 16.0,284000305,16,East Central IL Nonmetropolitan,7/26/2024
BLOC - Mattoon,511 Lake Land Blvd,Mattoon,61938,Coles,Zone 16.0,284000306,16,East Central IL Nonmetropolitan,12/18/2025
Bridge City - East Dubuque,122 Sinsinawa Ave,East Dubuque,61025,Jo Daviess,Zone 14.0,284000307,14,Northwest Illinois nonmetropolitan area,2/19/2025
Green Releaf - Bourbonnais,1660 N State Route 50,Bourbonnais,60914,Kankakee,Zone 9.0,284000311,9,Kankakee,3/8/2024
Mystic Greenz - Decatur,5405 Indus. Dr.,Decatur,62522,Macon,Zone 8.0,284000312,8,Decatur,7/21/2023
Ivy Hall - Crystal Lake,501 Pingree Rd.,Crystal Lake,60014,McHenry,Zone 5.72,284000313,5,Chicago-Naperville-Elgin,1/18/2023
High Profile - Metropolis,1801 E 5th St,Metropolis,62960,Massac,Zone 17.1,284000314,17,South Illinois Nonmetropolitan,8/16/2024
Terrabis - Woodstock,601 S Eastwood Dr,Woodstock,60098,McHenry,Zone 5.72,284000315,5,Chicago-Naperville-Elgin,3/7/2025
Seven Point - Danville,380 Eastgate Dr.,Danville,61834,Vermilion,Zone 4.0,284000316,6,Danville,4/16/2024
Sociale - Park Ridge,1036 Higgins Rd,Park Ridge,60068,Cook,Zone 5.21,284000317,5,Chicago-Naperville-Elgin,8/11/2023
Bisa Lina - Carol Stream,720 E North Ave,Carol Stream,60188,DuPage,Zone 5.52,284000318,5,Chicago-Naperville-Elgin,3/1/2024
Cookies - Peoria Heights,1209 E War Memorial Dr,Peoria Heights,61616,Peoria,Zone 10.0,284000319,10,Peoria,12/5/2023
Cookies - Pontoon Beach,5111 State Route 111,Pontoon Beach,62040,Madison,Zone 12.0,284000320,12,St. Louis,5/1/2024
Cookies - Bloomington,1006 Jc Pkwy,Bloomington,61705,McLean,Zone 1.0,284000321,1,Bloomington,9/26/2023
BLOC - Northfield,161 Waukegan Rd,Northfield,60093,Cook,Zone 5.3,284000324,5,Chicago-Naperville-Elgin,11/1/2024
Bloom Wellness - Normal,1730 Bradford Ln Ste 185,Normal,61761,McLean,Zone 1.0,284000325,1,Bloomington,7/3/2024
High Haven - Darien,8131 Cass Ave,Darien,60561,DuPage,Zone 5.72,284000328,5,Chicago-Naperville-Elgin,8/17/2023
High Haven - Elgin,15 Clock Tower Plz,Elgin,60120,Kane,Zone 5.91,284000329,5,Chicago-Naperville-Elgin,9/12/2024
Mystic Greenz - Belleville,360 S Green Mount Rd,Belleville,62221,St. Clair,Zone 12.0,284000330,12,St. Louis,10/22/2024
The Carbondale - Carbondale,613 E Main St.,Carbondale,62901,Jackson,Zone 17.2,284000331,3,Carbondale-Marion,12/15/2025
High Haven - Normal,106 Mall Dr,Normal,61761,McLean,Zone 1.0,284000332,1,Bloomington,4/30/2024
Mood Shine - Chicago Heights,628 W Lincoln Hwy,Chicago Heights,60411,Cook,Zone 5.81,284000333,5,Chicago-Naperville-Elgin,9/11/2024
Dutchess - N. Riverside,8380 W Cermak Rd,North Riverside,60546,Cook,Zone 5.51,284000334,5,Chicago-Naperville-Elgin,4/16/2025
Bloom Wellness - Hometown,4140 Southwest Hwy,Hometown,60456,Cook,Zone 5.71,284000335,5,Chicago-Naperville-Elgin,6/13/2024
BLOC - Antioch,417 E Il Route 173 Unit 106,Antioch,60002,Lake,Zone 5.73,284000338,5,Chicago-Naperville-Elgin,12/19/2025
BLOC - Metropolis,2125 E 5th St,Metropolis,62960,Massac,Zone 17.1,284000340,17,South Illinois Nonmetropolitan,11/22/2024
BLOC - Berwyn,7122 Ogden Ave,Berwyn,60402,Cook,Zone 5.51,284000343,5,Chicago-Naperville-Elgin,6/13/2025
Smokehouse - Fox Lake,44 S US Highway 12,Fox Lake,60020,Lake,Zone 5.73,284000347,5,Chicago-Naperville-Elgin,7/24/2024
Green Rose - Harwood Heights,4660 N Harlem Ave,Harwood Heights,60706,Cook,Zone 5.21,284000348,5,Chicago-Naperville-Elgin,8/5/2024
Ash Ivy - Benton,9 N Rend Lake Plz,Benton,62812,Franklin,Zone 17.0,284000349,17,South Illinois Nonmetropolitan,11/1/2024
Prairie Cannabis - Naperville,4S120 N Route 59,Warrenville,60563,DuPage,Zone 5.61,284000350,5,Chicago-Naperville-Elgin,1/17/2025
Terrabis - Dixon,1679 S Galena Ave.,Dixon,61021,Lee,Zone 7.0,284000351,14,Northwest Illinois nonmetropolitan area,12/13/2024
Vertical - Cairo,300 Washington Ave.,Cairo,62914,Alexander,Zone 2.0,284000355,2,Cape Girardeau,8/4/2025
Cloud9 - Schaumburg,1823 W Wise Rd.,Schaumburg,60193,Cook,Zone 5.91,284000356,5,Chicago-Naperville-Elgin,12/16/2025
Starbuds - Summit,5436 S Harlem Ave,Summit,60501,Cook,Zone 5.51,284000358,5,Chicago-Naperville-Elgin,12/18/2025
Lakeshore - Romeoville,1335 Lakeside Dr Unit 4,Romeoville,60446,Will,Zone 5.72,284000367,5,Chicago-Naperville-Elgin,2/10/2026
